Solution: 1, Start Location: CharlestonWV, Max Time: 200 hrs, Speed: 50 mph

1. CharlestonWV, HuntingtonWV, CharlestonWV_tofrom_HuntingtonWV, 0.03442613014781202, 1.06, 10.1, 101.0 

2. HuntingtonWV, FairmontWV, HuntingtonWV_tofrom_FairmontWV_on_I64E_and_I79N, 0.08367720659402143, 3.82, 10.1, 101.0 

3. FairmontWV, CharlestonWV, FairmontWV_tofrom_CharlestonWV, 0.010115108822100417, 2.8, 10.1, 101.0 

Solution: 2, Start Location: CharlestonWV, Max Time: 200 hrs, Speed: 50 mph

1. CharlestonWV, HuntingtonWV, CharlestonWV_tofrom_HuntingtonWV, 0.03442613014781202, 1.06, 10.1, 101.0 

2. HuntingtonWV, FairmontWV, HuntingtonWV_tofrom_FairmontWV_on_I64E_and_I79N, 0.08367720659402143, 3.82, 10.1, 101.0 

3. FairmontWV, HuntingtonWV, HuntingtonWV_tofrom_FairmontWV_on_I64E_and_I79N, 0.08367720659402143, 3.82, 10.1, 101.0 

4. HuntingtonWV, CharlestonWV, CharlestonWV_tofrom_HuntingtonWV, 0.03442613014781202, 1.06, 10.1, 101.0 

Solution: 3, Start Location: CharlestonWV, Max Time: 200 hrs, Speed: 50 mph

1. CharlestonWV, HuntingtonWV, CharlestonWV_tofrom_HuntingtonWV, 0.03442613014781202, 1.06, 10.1, 101.0 

2. HuntingtonWV, FairmontWV, HuntingtonWV_tofrom_FairmontWV_on_I64E_and_I79N, 0.08367720659402143, 3.82, 10.1, 101.0 

3. FairmontWV, HuntingtonWV, HuntingtonWV_tofrom_FairmontWV_on_I64E_and_I79N, 0.08367720659402143, 3.82, 10.1, 101.0 

4. HuntingtonWV, LouisvilleKY, LouisvilleKY_tofrom_HuntingtonWV_on_I64E, 0.056227967836028736, 3.94, 0.1, 1.0 

5. LouisvilleKY, CincinnatiOH, Cincinnati_tofrom_Lousville, 0.069734470287017, 2.0, 0.1, 1.0 

6. CincinnatiOH, ToledoOH, CincinnatiOH_tofrom_ToledoOH, 0.0877167321501943, 3.58, 0.1, 1.0 

7. ToledoOH, ChicagoIL, ChicagoIL_tofrom_ToledoOH, 0.05322898394505835, 3.22, 0.8, 8.0 

8. ChicagoIL, MadisonWI, Chicago_tofrom_Madison_on_I88, 0.09231332947400017, 2.96, 0.1, 1.0 

9. MadisonWI, MilwaukeeWI, MilwaukeeWI_tofrom_MadisonWI, 0.0027172936687732355, 1.59, 0.1, 1.0 

10. MilwaukeeWI, GreenBayWI, MilwaukeeWI_tofrom_GreenBayWI, 0.08174579092365064, 2.34, 0.1, 1.0 

